Identifiant par défaut;Nom de l'établissement;Adresse de l'établissement;Adresse secondaire de l'établissement;Code postal;Commune;Code cedex;Numéro de téléphone de l'établissement;Numéro de téléphone secondaire de l'établissement;Numéro de fax;Courriel;Site internet;Capacité de l'établissement;Les tarifs de l'établissement;Les ouvertures de l'établissement;Première classification;Deuxième classification;Appartenance au label Vignobles et Découvertes;Appartenance à la marque Accueil Vélo, accueil et services adaptés aux touristes à vélo;Appartenance à la marque Loire à Vélo, accueil et services adaptés aux touristes à vélo;Itinéraire européen. Présentation des établissements se trouvant proche de l'itinéraire;Prise en charge du handicap moteur du label Tourisme et Handicap;Prise en charge du handicap mental du label Tourisme et Handicap;Prise en charge du handicap auditif du label Tourisme et Handicap;Prise en charge du handicap visuel du label Tourisme et Handicap;"Classement ""cocottes"" spécifique aux hébergements de qualité Logis";Appartenance de l'établissemant aux chaînes hôtelières;Appartenance de l'établissemant aux labels restaurants, à la marque HOTELcert, déposée du Groupe AFNOR;Classement de l'établissement en épi, étoile, clé selon le LABEL_1;Appartenance de l'établissement aux labels restaurants, à la marque HOTELcert, déposée du Groupe AFNOR;Classement de l'établissement en épi, étoile, clé selon le LABEL_2;Appartenance de l'établissement au label écologique Européen - Catégorie 1;Appartenance de l'établissement au label écologique Européen - Catégorie 2;Zones géographique du département;Etablissement disposant d'un restaurant;Etablissement disposant d'un parking;Etablissement disposant d'une piscine;Etablissement disposant d'un spas, sauna, hammam;Etablissement acceptant les animaux;Etablissement disposant d'une salle de réunion;Personnel de l'établissement parlant;Personnel de l'établissement parlant;Personnel de l'établissement parlant;Personnel de l'établissement parlant;Base tarif 1 de l'établissement;Base tarif 2 de l'établissement;Chèques Vacances acceptés par l'établissement;Capacité, en personnes;Capacité, en chambres;_l
13;ETAP HOTEL NANTES OUEST;Route de Vannes;La Barrière Noire;44220;COUERON;;08 92 68 32 73;;02 40 38 39 52;H2527@accor.com;www.etaphotel.com;64 chambres;De 47 à 48 Euros;;Hôtels;;;;;;;;;;;Etap Hotel;;;;;;;;;oui;;;oui;;anglais;;;;;;oui;;64;[ 47.2420247 , -1.6682179]
14;EUROCEAN;7 place de Kerhilliers;;44350;GUERANDE;;02 40 42 90 42;06 71 33 93 88;02 40 15 70 06;eurocean@otelissim.com;eurocean@otelissim.com;33 chambres;De 39 à 59 Euros;;Hôtels;;;;;;;;;;;;;;;;;;;oui;oui;;;oui;oui;;;;;;;oui;;33;[ 47.32579105 , -2.41348028]
15;LES REMP'ARTS;14-15 boulevard du Nord;;44350;GUERANDE;;02 40 24 90 69;;02 40 62 17 99;hotelremparts@orange.fr;;8 chambres;De 49 à 69 Euros;Ouvert toute l'année;Hôtels;;;;;;;;;;;;;;;;;;;oui;;;;oui;;anglais;;;;;;oui;;8;[ 47.32902912 , -2.42729908]
16;HOTEL DE LA CITE;2 place Dolgellau;;44350;GUERANDE;;02 40 22 02 20;;02 40 22 40 22;reception@hoteldelacite-guerande.com;www.hotel-guerande.com;60 chambres;A partir de 75 Euros;Ouvert toute l'année;Hôtels;;;;;;;;;;;Citotel;;;;;;;;;oui;Piscine;;oui;oui;allemand;anglais;espagnol;;;;oui;;60;[ 47.3278182 , -2.4294169]
17;LA LOUEE;;Route de Clisson;44115;HAUTE-GOULAINE;;02 40 54 90 25;;02 40 06 17 70;hoteldelalouee@wanadoo.fr;www.hoteldelalouee.fr;46 chambres;;;Hôtels;;;;;;;;;;;Contact Hotel;;;;;;;;oui;oui;;;oui;;anglais;;;;;;oui;;46;[ 47.184957 , -1.4422441]
18;HERMITAGE BARRIERE;5 esplanade Lucien Barrière;BP 173;44500;LA BAULE;;02 40 11 46 46;0 825 826 016;02 40 11 46 45;hermitage@lucienbarriere.com;www.hermitage-barriere.com;207 chambres;De 257 à 715 Euros;Ouvert du 30/03/2012 au 23/09/2012;Hôtels;;;;;;;;;;;;;;;;;;;oui;oui;Piscine couverte;oui;oui;oui;allemand;anglais;espagnol;;;;;;207;[ 47.2869657 , -2.3914496]
19;ROYAL-THALASSO-BARRIERE;6, avenue Pierre Loti;BP 174;44500;LA BAULE;;02 40 11 48 48;0 825 826 016;02 40 11 48 45;royalthalasso@lucienbarriere.com;www.lucienbarriere.com;91 chambres;De 196 à 608 Euros;Ouvert du 01/01/2012 au 31/12/2012;Hôtels;;;;;;;;;;;;;;;;;;;oui;oui;Piscine couverte;oui;oui;oui;allemand;anglais;espagnol;;;;;;91;[ 47.2869657 , -2.3914496]
20;ALCYON;19, allée des Pétrels;;44500;LA BAULE;;02 40 60 19 37;;02 40 42 71 33;info@alcyon-hotel.com;www.alcyon-hotel.com;32 chambres;De 75 à 142 Euros;Ouvert du 23/01/2012 au 31/12/2012;Hôtels;;;;;;;;;;;Citotel;;;;;;;;oui;oui;;;oui;oui;anglais;;;;;;oui;;32;[ 47.2851755 , -2.3956474]
21;BELLEVUE PLAGE;27, boulevard de l'Océan;;44500;LA BAULE;;02 40 60 28 55;;02 40 60 10 18;hotel@hotel-bellevue-plage.fr;www.hotel-bellevue-plage.fr;35 chambres;De 95 à 195 Euros;Ouvert du 28/01/2012 au 09/12/2012;Hôtels;;;;;;;;;;;;;;;;;;;oui;oui;Piscine couverte;oui;oui;oui;anglais;espagnol;;;;;oui;;35;[ 47.278698 , -2.3731482]
22;MERCURE LA BAULE MAJESTIC;14, esplanade Lucien Barrière;;44500;LA BAULE;;02 40 60 24 86;;02 40 42 03 13;h5692@accor.com;www.hotelmercure-labaule.com;83 chambres;De 98 à 390 Euros;Ouvert du 01/01/2012 au 31/12/2012;Hôtels;;;;;;;;;;;;;;;;;;;oui;oui;;;oui;oui;allemand;anglais;espagnol;italien;;;oui;;83;[ 47.280693 , -2.4084157]
23;LA VILLA CAROLINE;46, avenue des Lilas;;44500;LA BAULE;;02 40 11 54 54;;02 40 60 67 95;villacaroline@vacancesbleues.com;www.vacancesbleues.com;69 chambres;De 90 à 165 Euros;Ouvert du  25/02 au 30/10/2012;Hôtels;;;;;;;;;;;;;;;;;;;;oui;;;oui;;anglais;espagnol;;;;;oui;;69;[ 47.2774795 , -2.4208422]
24;BRITTANY BEST WESTERN;7, avenue des Impairs;;44500;LA BAULE;;02 40 60 30 25;;02 40 24 37 30;info@hotelbrittany.com;www.hotelbrittany.com;19 chambres;De 100 à 195 Euros;Ouvert du 01/01/2012 au 31/12/2012;Hôtels;;;;;;;;;;;Best Western;;;;;;;;;;;;oui;oui;anglais;;;;;;oui;;19;[ 47.2825742 , -2.3961749]
25;VILLA CAP D'AIL;145, avenue de Lattre de Tassigny;;44500;LA BAULE;;02 40 60 29 30;06 16 19 21 06;02 40 11 03 96;villacapdail@wanadoo.fr;www.villacapdail.com;22 chambres;De 70 à 160 Euros;Ouvert du 01/01/2012 au 31/12/2012;Hôtels;;;;;;;;;;;;;;;;;;;;;;;oui;oui;allemand;anglais;;;;;oui;;22;[ 47.2851936 , -2.3988756]
26;HOSTELLERIE DU BOIS;65, avenue Lajarrige;La Baule les Pins;44500;LA BAULE;;02 40 60 24 78;;02 40 42 05 88;hostellerie-du-bois@wanadoo.fr;www.hostellerie-du-bois.com;15 chambres;De 60 à 74 Euros;Ouvert du  15/03 au 15/11/2012 ;Hôtels;;;;;;;;;;;;;;;;;;;oui;;;;oui;;anglais;espagnol;italien;;;;oui;;15;[ 47.2822716 , -2.3672427]
27;LUTETIA;13, avenue Olivier Guichard;;44500;LA BAULE;;02 40 60 25 81;;02 40 42 73 52;contact@lutetia-labaule.com;www.lutetia-labaule.com;26 chambres;De 69 à 195 Euros;Ouvert du 01/01/2012 au 31/12/2012;Hôtels;;;;;;;;;;;;;;;;;;;oui;oui;;oui;oui;oui;anglais;;;;;;oui;;26;[ 47.283742 , -2.393944]
28;LA MASCOTTE;26, avenue Marie Louise;;44500;LA BAULE;;02 40 60 26 55;;02 40 60 15 67;hotel.la.mascotte@wanadoo.fr;www.la-mascotte.fr;24 chambres;De 77 à 126 Euros;Ouvert du 01/01/2012 au 31/12/2012;Hôtels;;;;;;;;;;;;;;;;;;;;;Piscine couverte;;oui;oui;anglais;espagnol;;;;;oui;;24;[ 47.2821202 , -2.406516]
29;SAINT CHRISTOPHE;Place Notre Dame;;44500;LA BAULE;;02 40 62 40 00;;02 40 62 40 40;reception.hsc@wanadoo.fr;www.st-christophe.com;45 chambres;De 68 à 194 Euros;Ouvert du 01/01/2012 au 31/12/2012;Hôtels;;;;;;;;;;;Chateaux et Hotels Collection;;;;;;;;oui;oui;;;oui;oui;allemand;anglais;;;;;oui;;45;[ 47.28320313 , -2.39606806]
30;LE SAINT PIERRE;124, avenue de Lattre de Tassigny;;44500;LA BAULE;;02 40 24 05 41;;02 40 11 03 41;contact@hotel-saint-pierre.com;www.hotel-saint-pierre.com;19 chambres;De 69 à 112 Euros;Ouvert du 01/01/2012 au 31/12/2012;Hôtels;;;;;;;;;;;Inter Hotel;;;;;EcoLabel;;;;;;;oui;;anglais;espagnol;;;;;oui;;19;[ 47.2847465 , -2.4007539]
31;RELAIS&CHATEAUX CASTEL MARIE-LOUISE;1, avenue Andrieu;B.P.409;44500;LA BAULE;;02 40 11 48 38;;02 40 11 48 35;marielouise@relaischateaux.com;www.castel-marie-louise.com;31 chambres;De 182 à 749 Euros;Ouvert du 05/02/2012 au 31/12/2012;Hôtels;;;;;;;;;;;Relais et Châteaux;;;;;;;;oui;oui;;;oui;oui;allemand;anglais;espagnol;;;;;;31;[ 47.2869657 , -2.3914496]
32;LE CHRISTINA;26, boulevard Hennecart;B.P. 2;44500;LA BAULE;;02 40 60 22 44;;02 40 11 04 31;christina@hotel-le-christina.com;www.hotel-le-christina.com;38 chambres;De 80 à 135 Euros;Ouvert du 03/02/2012 au 31/12/2012;Hôtels;;;;;;;;;;;;;;;;;;;oui;oui;;;oui;oui;allemand;anglais;italien;néerlandais;;;oui;;38;[ 47.2869657 , -2.3914496]
33;CONCORDE;1, bis avenue de La Concorde;;44500;LA BAULE;;02 40 60 23 09;;02 40 42 72 14;info@hotel-la-concorde.com;www.hotel-la-concorde.com;47 chambres;De 88 à 145 Euros;Ouvert du  05/04 au 30/09/2012;Hôtels;;;;;;;;;;;;;;;;;;;oui;oui;;;;;allemand;anglais;;;;;oui;;47;[ 47.2823436 , -2.3998562]
34;ASTROLABE;106, avenue de Lattre de Tassigny;;44500;LA BAULE;;02 40 60 21 75;;02 40 60 67 66;hotelastrolabe@hotmail.fr;www.hotelastrolabe.fr;15 chambres;De 43 à 67 Euros;;Hôtels;;;;;;;;;;;;;;;;;;;;;;;oui;;anglais;;;;;;;;15;[ 47.2830924 , -2.4078563]
35;MONA LISA;42, avenue Georges Clemenceau;;44500;LA BAULE;;02 40 60 21 33;;02 40 42 72 46;hotel-mona-lisa@orange.fr;www.hotelmonalisa-labaule.com;16 chambres;De 69 à 99 Euros;Ouvert du 01/01/2012 au 31/12/2012;Hôtels;;;;;;;;;;;;;;;;;;;;;;;oui;;anglais;espagnol;;;;;oui;;16;[ 47.2877611 , -2.3875301]
36;LA CLOSERIE;173, avenue de Lattre de Tassigny;;44500;LA BAULE;;02 51 75 17 00;;02 51 75 17 19;info@hotel-la-closerie.com;www.hotel-la-closerie.com;13 chambres;De 70 à 85 Euros;;Hôtels;;;;;;;;;;;;;;;;;;;;oui;;;oui;;anglais;;;;;;;;13;[ 47.285633 , -2.3970173]
37;DUNES;277, avenue de Lattre de Tassigny;;44500;LA BAULE;;02 51 75 07 10;;02 51 75 07 11;info@hotel-des-dunes.com;www.hotel-des-dunes.com;32 chambres;De 47 à 64 Euros;;Hôtels;;;;;;;;;;;Citotel;;;;;;;;oui;oui;;;oui;oui;allemand;anglais;;;;;oui;;32;[ 47.2863541 , -2.3944195]
38;MARINI;22, avenue Georges Clemenceau;;44500;LA BAULE;;02 40 60 23 29;;02 40 11 16 98;f.senet@otelissim.com;;33 chambres;De 62 à 89 Euros;;Hôtels;;;;;;;;;;;;;;;;;;;oui;;Piscine couverte;oui;oui;;anglais;;;;;;oui;;33;[ 47.2874155 , -2.3891212]
39;LA PALMERAIE;7, avenue des Cormorans;;44500;LA BAULE;;02 40 60 24 41;;02 40 42 73 71;palmeraie@otelissim.com;;22 chambres;De 65 à 115 Euros;;Hôtels;;;;;;;;;;;;;;;;;;;oui;;;;oui;;anglais;;;;;;oui;;22;[ 47.2828147 , -2.3976027]
40;LE PARIS;138, avenue des Ondines;;44500;LA BAULE;;02 40 70 09 01;;02 40 60 83 76;contact@hoteldeparis-labaule.com;www.hoteldeparis-labaule.com;16 chambres;De 48 à 68 Euros;Ouvert du 10/01/2012 au 20/12/2012;Hôtels;;;;;;;;;;;;;;;;;;;;;;;oui;;anglais;espagnol;;;;;oui;;16;[ 47.2880837 , -2.3898049]
41;PLEIADES;28, boulevard Docteur René Dubois;;44500;LA BAULE;;02 51 75 06 06;;02 40 60 94 07;les-pleiades@magic.fr;www.les-pleiades.com;50 chambres;De 65 à 100 Euros;;Hôtels;;;;;;;;;;;;;;;;;;;;oui;;;;oui;anglais;;;;;;oui;;50;[ 47.2809966 , -2.3839061]
42;LES TENNIS MEN;1, avenue de Lyon;;44500;LA BAULE;;02 40 60 24 04;;02 40 60 66 32;hotel.tennis@wanadoo.fr;www.hotel-lestennis.com;18 chambres;De 55 à 82 Euros;Ouvert du 01/01/2012 au 31/12/2012;Hôtels;;;;;;;;;;;;;;;;;;;;oui;;;;;anglais;;;;;;oui;;18;[ 47.2788626 , -2.363709]
43;TY GWENN;25, avenue de la Grande Dune;;44500;LA BAULE;;02 40 60 37 07;;02 40 11 08 43;hotel.tygwenn@wanadoo.fr;www.hotel-tygwenn.fr;16 chambres;De 65 à 78 Euros;Ouvert du 10/02/2012 au 11/11/2012;Hôtels;;;;;;;;;;;;;;;;;;;oui;;;;;;anglais;;;;;;oui;;16;[ 47.27998548 , -2.36814755]
44;LE CORALLI;2, avenue Pierre 1er de Serbie;;44500;LA BAULE;;02 40 60 29 82;;02 40 60 82 26;info@lecorallilabaule.com;www.lecorallilabaule.com;8 chambres;Apartir de 40 Euros;;Hôtels;;;;;;;;;;;;;;;;;;;;;;;oui;;anglais;;;;;;oui;;8;[ 47.2749913 , -2.4265872]
45;B&B HÔTEL NANTES LA CHAPELLE;Parc de Gesvres;;44240;LA CHAPELLE-SUR-ERDRE;;08 92 78 80 70;;02 51 12 70 30;bb_4151@hotelbb.com;www.hotelbb.com;60 chambres;De 42,3 à 65 Euros;;Hôtels;;;;;;;;;;;;;;;;CléVerte;;;;oui;;;oui;;;;;;;;oui;;60;[ 47.2998093 , -1.5498773]
46;DELMAR HOTEL;4, rue de la Guillauderie;Parc d'activités de Tournebride;44118;LA CHEVROLIERE;;02 40 65 22 22;;;delmarhotel@orange.fr;www.delmar-hotel.com;25 chambres;De 80 à 115 Euros;toute l'année;Hôtels;;;;;;;;;;;Citotel;;;;;Hotel Cert;;;oui;oui;;;oui;oui;anglais;;;;;;oui;;25;[ 47.0794343 , -1.566995]
47;LES CHANTS D'AILES;11 boulevard Bellanger;;44420;LA TURBALLE;;02 40 23 47 28;;02 40 62 86 43;hotel.chantsdailes@wanadoo.fr;laturballe.free.fr/hotel-chantsdailes;19 chambres;De 40 à 81 Euros;Ouvert à partir du 11/02/12;Hôtels;;;;;;;;;;;;;;;;;;;;oui;;;oui;;anglais;espagnol;;;;;oui;;19;[ 47.34369952 , -2.50693665]
48;LES VIKINGS;Port Lin;;44490;LE CROISIC;;02 40 62 90 03;;02 40 23 28 03;vikings@fr.oleane.com;www.hotel-les-vikings.com;24 chambres;De 75 à 111 Euros;Ouvert toute l'année;Hôtels;;;;;;;;;;;;;;;;;;;oui;;;;oui;oui;anglais;;;;;;;;24;[ 47.29499178 , -2.51508759]
49;LES NIDS;15 rue Pasteur;Port Lin;44490;LE CROISIC;;02 40 23 00 63;;02 40 23 09 79;hotellesnids@worldonline.fr;www.hotellesnids.com;24 chambres;;;Hôtels;;;;;;;;;;;;;;;;;;;;oui;Piscine couverte;;oui;;anglais;espagnol;;;;;oui;;24;[ 47.28505448 , -2.5131809]
50;LE MONDÈS;13 rue du Centre;;44510;LE POULIGUEN;;02 40 42 31 03;;02 51 73 49 54;lemondes@orange.fr;www.hotel-pouliguen.com;9 chambres;De 43 à 69 Euros;Ouvert du 01/07/12 au 30/08/12 : de 8h à 01h;Hôtels;;;;;;;;;;;;;;;;;;;;;;;;;anglais;;;;;;oui;;9;[ 47.27661711 , -2.4291201]
51;LES FARFADETS;28 quai Jules Sandeau;;44510;LE POULIGUEN;;02 40 42 32 61;;02 40 62 20 66;grand.hotel.neptune@wanadoo.fr;perso.orange.fr/grandhotelneptune;12 chambres;;;Hôtels;;;;;;;;;;;;;;;;;;;oui;;;;;;anglais;;;;;;oui;;12;[ 47.27602192 , -2.42694831]
52;A L'OREE DU BOIS;21 rue Maréchal Foch;;44510;LE POULIGUEN;;02 40 42 32 18;;02 40 62 23 73;hotel@aloreedubois.net;www.aloreedubois.net;16 chambres;;;Hôtels;;;;;;;;;;;;;;;;;;;oui;;;;oui;;anglais;;;;;;oui;;16;[ 47.272459 , -2.4258324]
53;ETAP HOTEL ANCENIS;630 rue de l'Industrie;Zone du Château Rouge;44522;MESANGER;;08 92 70 12 48;;02 51 14 04 05;h6559@accor.com;www.etaphotel.com;63 chambres;De 44 à 49 Euros;toute l'année;Hôtels;;;;;;;;;;;;;;;;;;;oui;oui;;;oui;oui;anglais;;;;;;oui;;63;[ 47.4320739 , -1.2312982]
54;AMIRAL;26 bis, Rue Scribe;;44000;NANTES;;02 40 69 20 21;;02 40 73 98 13;amiral@hotel-nantes.fr;www.hotel-nantes.fr;49 chambres;De 59 à 85 Euros;;Hôtels;;;oui;;oui;;;;;;;;;Hotel Cert;;CléVerte;EcoLabel;;;;;;oui;;anglais;espagnol;;;;;oui;;49;[ 47.2139919 , -1.5626165]
55;STARS;3 rue du Petit Chatelier;;44303;NANTES;;02 40 93 23 73;;02 40 52 20 41;stars-nantes@jjwhotels.com;www.jjwhotels.com;45 chambres;De 40 à 65 Euros;;Hôtels;;;;;;;;;;;;;;;;;;;;oui;;;oui;;allemand;anglais;espagnol;;;;oui;;45;[ 47.247112 , -1.5040676]
56;B&B HÔTEL NANTES CENTRE;10, Place Viarme;;44000;NANTES;;08 92 78 80 72;;02 40 89 43 78;bb_4304@hotelbb.com;www.hotel-bb.com;60 chambres;De 45 à 54 Euros;;Hôtels;;;;;;;;;;;Autres;;;;;CléVerte;;;;oui;;;oui;;anglais;;;;;;oui;;60;[ 47.220331 , -1.5617959]
57;HOTEL F1 - NANTES EST PORTE DE SAINTE LUCE;345, Route de Sainte Luce;;44303;NANTES;;08 91 70 53 35;;02 40 93 14 31;H2260@accor.com;www.hotelf1.com;64 chambres;De 32,5 à 36 Euros;;Hôtels;;;;;;;;;;;;;;;;;;;;oui;;;oui;;anglais;;;;;;oui;;64;[ 47.2464273 , -1.5009625]
58;HOTEL (L');6 Rue Henri IV;;44000;NANTES;;02 40 29 30 31;;02 40 29 00 95;lhotel@mageos.com;www.nanteshotel.com;31 chambres;De 79 à 160 Euros;;Hôtels;;;oui;;oui;;;;;;Hotel Cert;;;;;CléVerte;;;;oui;;;oui;;anglais;;;;;;oui;;31;[ 47.217816 , -1.5479687]
59;KYRIAD NANTES GARE;8 Allée du Commandant Charcot;;44000;NANTES;;02 40 74 14 54;;02 40 74 77 68;kyriad-nantescentre@wanadoo.fr;www.kyriadnantescentre.fr;94 chambres;De 98 à 164 Euros;;Hôtels;;;;;;;;;;;Kyriad;;;;;;;;;;;;oui;;allemand;anglais;espagnol;;;;oui;;94;[ 47.217625 , -1.544374]
60;LA PEROUSE;3 Allée Duquesne;;44000;NANTES;;02 40 89 75 00;;02 40 89 76 00;information@hotel-laperouse.fr;www.hotel-laperouse.fr;46 chambres;De 89 à 195 Euros;;Hôtels;;;;;;;;;;;Hotel Cert;;;;;CléVerte;EcoLabel;;;;;;oui;;allemand;anglais;espagnol;italien;;;oui;;46;[ 47.2185047 , -1.5446583]
61;DUQUESNE;12 allée Duquesne;;44000;NANTES;;02 40 47 57 24;;02 40 89 61 06;hotel.duquesne@wanadoo.fr;www.hotelduquesne-nantes.com;25 chambres;De 60 à 99 Euros;;Hôtels;;;oui;oui;oui;;;;;1 cocotte;;;;;;CléVerte;EcoLabel;;;;;;oui;;allemand;anglais;;;;;oui;;25;[ 47.21763796 , -1.55680516]
62;LONGCHAMP (LE);78/80, Route de Vannes;;44100;NANTES;;02 40 76 96 88;;02 51 83 86 46;hubert.courteille@wanadoo.fr;www.hotel-lelongchamp.fr;26 chambres;De 48 à 58 Euros;;Hôtels;;;;;;;;;;;;;;;;;;;;oui;;;oui;;anglais;;;;;;;;26;[ 47.2352723 , -1.5827716]
63;TRIANON;43 Boulevard Victor Hugo;;44200;NANTES;;02 40 47 82 00;;02 40 89 02 52;contact@hotel-trianon.fr;www.hotel-trianon.fr;21 chambres;De 45 à 56,5 Euros;;Hôtels;;;;;;;;;;;;;;;;;;;;;;;;;anglais;;;;;;oui;;21;[ 47.2028306 , -1.5493349]
64;B&B HÔTEL NANTES LA BEAUJOIRE;82 Route de Paris - La Beaujoire;;44300;NANTES;;08 92 78 80 69;;02 51 89 10 00;bb_4035@hotelbb.com;www.hotelbb.com;60 chambres;De 47 à 65 Euros;;Hôtels;;;;;;;;;;;;;;;;CléVerte;;;;oui;;;oui;;anglais;;;;;;oui;;60;[ 47.2336281 , -1.5088934]
65;HOTEL DU COMMERCE;1 Place du commerce;;44000;NANTES;;02 40 48 77 81;;02 51 72 28 97;;;16 chambres;De 53 à 53 Euros;;Hôtels;;;;;;;;;;;;;;;;;;;;;;;;;anglais;;;;;;oui;;16;[ 47.213418 , -1.557333]
